5202 5302
5201 5301
4501 4601
5302 5402
5301 5401
4401 4501
5401 5501
5402 5502
4301 4401
5501 5601
5502 5602
4201 4301
5602 5702
5601 5701
4101 4201
5702 5802
5701 5801
4001 4101
5802 5902
5801 5901
3901 4001
5902 6002
5901 6001
6001 6101
6002 6102
6102 6202
6101 6201
3801 3901
6202 6302
6201 6301
9901 6303
3701 3801
3602 3701
3601 5101
6301 6401
6302 6402
6303 6403
3501 3602
6402 6502
6401 6501
3401 3501
3301 3401
6502 6602
6501 6601
3201 3301
3202 3302
6602 6702
6601 6701
6702 6802
6701 6801
10002 10102
10001 10101
6802 6902
6801 6901
3101 3201
3102 3202
10101 10201
10201 7003
6902 7002
6901 7001
3001 3101
3002 3102
3003 5001
7003 7103
7002 7102
7001 7101
2901 3001
2902 3002
2903 3003
2801 2901
2802 2902
7102 7202
7101 7201
7202 7302
7201 7301
2701 2801
2702 2802
7302 7402
7301 7401
2601 2701
2602 2702
7402 7502
7401 7501
2501 2601
2502 2602
7502 7602
7501 7601
2401 2501
2402 2502
7602 7702
7601 7701
2301 2401
2302 2402
2201 2301
2202 2302
7702 7802
7701 7801
7802 7902
7801 7901
2101 2201
2102 2202
7902 8002
7901 8001
2001 2101
2002 2102
8002 8102
8001 8101
1901 2001
1902 2002
8102 8202
8101 8201
1801 1901
1802 1902
1701 1801
1702 1802
8201 8301
8202 8302
8302 8402
8301 8401
1601 1701
1602 1702
8402 8502
8401 8501
1501 1601
1502 1602
8502 8602
8501 8601
1401 1501
1402 1502
8602 8702
8601 8701
1301 1401
1302 1402
8702 8802
8701 8801
1201 1301
1202 1302
10301 10401
1101 1201
1102 1202
1103 4901
8801 8901
8802 8902
10401 8903
8903 9003
8902 9002
8901 9001
1001 1101
1002 1102
1003 1103
902 1002
901 1001
801 901
802 902
803 4801
9103 9203
9102 9202
9101 9201
701 801
702 802
703 803
9203 9303
9202 9302
9201 9301
601 701
602 702
603 703
9303 9403
9302 9402
9301 9401
501 601
502 602
503 603
401 501
402 502
403 503
9403 9503
9402 9502
9401 9501
301 401
302 402
303 403
304 404
9503 9603
9502 9602
9501 9601
201 301
202 302
203 303
4701 304
9604 10601
9603 9703
9602 9702
9601 9701
9703 9803
9702 9802
9701 9801
101 201
102 202
103 203
9104 10501
9003 9103
9002 9102
9001 9101
